oportunidade;empresa;data_criacao;data_envio_proposta;data_fechada;data_ultima_modificacao;valor;fase_comercial;nova_venda;finalidade;origem;departamento;motivo_perdido;tipo_venda;erp;pagamento;produto;sku;quantidade;vendedor
961975;Empresa 729;09/05/2022;10/05/2022;30/05/2022;30/05/2022;7711.97;Projeto em andamento;NV - 0022546;Uso e consumo;;ELETRONICOS (TVs);;Cotação;;Faturado;"Smart TV 65"" UHD Samsung 4k 65AU7700";3069510501;2;Vendedor C
962203;Empresa 3245;10/05/2022;10/05/2022;16/05/2022;16/05/2022;15975.77;Fechada e Perdida;NV - 0022644;Uso e consumo;;MÓVEIS - SALA DE ESTAR, SALA DE JANTAR E BAR;Cliente - Desistência da compra;Cotação;;Boleto;Poltrona De Amamentação Fixa Gabi Retrô Semelhante á Couro Azul Phoenix Baby;98138547;47;Vendedor S
962203;Empresa 3245;10/05/2022;10/05/2022;16/05/2022;16/05/2022;27600;Fechada e Perdida;NV - 0022643;Uso e consumo;;MÓVEIS - SALA DE ESTAR, SALA DE JANTAR E BAR;Cliente - Desistência da compra;Cotação;;Boleto;Poltrona do papai Retrátil e Reclinável Sued Diamante Luapa Grécia Bege A110;2390452781;24;Vendedor S
962135;Empresa 1995;10/05/2022;10/05/2022;17/05/2022;23/05/2022;74699.1;Projeto em andamento;NV - 0022594;Uso e consumo;;INFORMÁTICA E ACESSÓRIOS;;Cotação;;Boleto;"Monitor 144hz Gamer 23.8"" Dell S2421HGF";1962217139;70;Vendedor E
962153;Empresa 3246;10/05/2022;10/05/2022;16/05/2022;16/05/2022;74115;Fechada e Perdida;NV - 0022615;Uso e consumo;;INFORMÁTICA E ACESSÓRIOS;Cliente - Desistência da compra;Cotação;;Boleto;Projetor ViewSonic PX701HD w/ 3500 Lumens and Powered USB;4878981222;12;Vendedor S
962117;Empresa 3247;09/05/2022;10/05/2022;13/05/2022;20/05/2022;18174;Projeto em andamento;NV - 0022588;Uso e consumo;;PCS;;Cotação;;Cartão de Crédito;"Notebook Lenovo Ultrafino Ideapad 3 AMD Ryzen 5 8GB 256GB SSD Linux 15,6"" Prata + Webcam Lenovo 300 Full HD 1080p";4856432193;6;Vendedor C
951683;Empresa 233;06/04/2022;10/05/2022;10/05/2022;10/05/2022;904.94;Projeto em andamento;NV - 0022648;Uso e consumo;;"AUDIO; ELETRODOMESTICOS";;Cotação;;Faturado;Caixa de Som Bluetooth JBL GO 2;134348969;4;Vendedor C
957872;Empresa 3248;26/04/2022;10/05/2022;10/05/2022;10/05/2022;23748;Projeto em andamento;NV - 0022073;;;TELEFONIA;;Cotação;;Boleto;Smartphone Samsung Galaxy S20 Fe 128GB 4G Wi-Fi Tela 6.5'' Dual Chip;3234381205;12;Vendedor E
954533;Empresa 3249;14/04/2022;10/05/2022;;19/05/2022;9400;Fechada e Perdida;NV - 0021762;Uso e consumo;;PAPELARIA;Cliente - Desistência da compra;Cotação;;Boleto;Papel Chamex A4 75g Pacote 500 folhas;5425394;500;Vendedor C
959146;Empresa 3250;29/04/2022;10/05/2022;;20/05/2022;748.62;Fechada e Perdida;NV - 0022274;Uso e consumo;;INFORMÁTICA E ACESSÓRIOS;Cliente - Desistência da compra;Cotação;;Cartão de Crédito;Kit Cartucho de Tinta HP 664 Preto + HP 664 Tricolor - Original;1819302411;9;Vendedor C
