Oportunidade;Empresa;Data_criacao;Data_envio_proposta;Data_fechada;Data_última_modificação;Valor;Fase_Comercial;Nova_Venda;Finalidade;Origem;Departamento;Motivo_perdido;Tipo_venda;ERP;Pagamento;Produto;SKU;Quantidade;Vendedor
990613;EMPRESA 499;01/02/2023;01/02/2023;;03/02/2023;11410,2;Fechada e Perdida;NV - 0031770;Revenda;Caixa On;ELETROPORTÁTEIS;Cliente - Preço;Cotação;;Boleto;Batedeira Planetária Oster OBAT621 12 Velocidades 750W;;20;VENDEDOR C
990511;EMPRESA 3189;31/01/2023;01/02/2023;;01/02/2023;1000;Fechada e Perdida;NV - 0031740;Uso e consumo;Caixa Off;PAPELARIA;B2W - Estoque (Falta de produto);Cotação;;Boleto;Etiqueta Adesiva Tilibra /Kit Temperos 8 Potes de Vidro Tampa Preta;;103;VENDEDOR E
990611;EMPRESA 5431;01/02/2023;01/02/2023;;03/02/2023;11100;Fechada e Perdida;NV - 0031769;Revenda;Caixa On;TELEFONIA;Cliente - Desistência da compra;Cotação;;Boleto;"Smartphone Samsung Galaxy A13 128GB 4GB de RAM 4G Tela 6.6"" - Branco";;10;VENDEDOR C
990397;EMPRESA 5432;30/01/2023;01/02/2023;;10/02/2023;1599,99;Fechada e Perdida;NV - 0031714;Uso e consumo;Caixa Off;ELETRONICOS (TVs);Cliente - Desistência da compra;Cotação;;Faturado;Smart TV LED 40” HD Philco PTV40G65RCH Roku TV Dolby Audi;;1;VENDEDOR E
990643;EMPRESA 4;01/02/2023;01/02/2023;;01/02/2023;33000;Cotando;NV - 0031778;Uso e consumo;Caixa Off;TELEFONIA;;Cotação;;Faturado;"Smartphone Samsung Galaxy A13 128GB 4G Wi-Fi Tela 6.6"" Dual Chip 4GB RAM Câmera Quádrupla + Selfie 8MP - Preto";4807381481;30;VENDEDOR K
990635;EMPRESA 3824;01/02/2023;01/02/2023;01/02/2023;01/02/2023;1359,47;Fechada e Ganha;NV - 0031776;;Caixa Off;MÓVEIS - ESCRITÓRIO;;Catálogo;Nimbi;Faturado;09-995613494;;;VENDEDOR O
990387;EMPRESA 99;30/01/2023;01/02/2023;01/02/2023;01/02/2023;11000;Fechada e Perdida;NV - 0031711;Uso e consumo;Caixa Off;CLIMATIZAÇÃO;B2W - Estoque (Falta de produto);Cotação;;Faturado;ar condicionado;;;VENDEDOR F
990640;EMPRESA 4;01/02/2023;01/02/2023;;01/02/2023;700;Cotando;NV - 0031777;Uso e consumo;Caixa Off;ELETROPORTÁTEIS;;Cotação;;Faturado;;;;VENDEDOR K
990629;EMPRESA 5433;01/02/2023;01/02/2023;28/02/2023;28/02/2023;14849,9;Fechada e Perdida;NV - 0031773;Uso e consumo;Caixa Off;ELETRONICOS (TVs);Cliente - Desistência da compra;Cotação;;Faturado;Smart TVs 32;;;VENDEDOR F
990708;;01/02/2023;01/02/2023;01/02/2023;01/02/2023;4476,5;Fechada e Ganha;NV - 0031788;;Caixa Off;;;Cotação;;Faturado;;;;VENDEDOR M
990494;EMPRESA 794;31/01/2023;01/02/2023;;10/02/2023;23100;Fechada e Perdida;NV - 0031738;Uso e consumo;Caixa Off;AUDIO;B2W - Estoque (Falta de produto);Cotação;;Faturado;Caixa de Som Portátil LG XBOOM GO Pl7 Meridian 30W Bluetooth IPX5 Comando de;;33;VENDEDOR E
990472;EMPRESA 2277;31/01/2023;01/02/2023;02/02/2023;02/02/2023;85,94;Fechada e Perdida;NV - 0031734;Uso e consumo;Caixa Off;AUDIO;B2W - Estoque (Falta de produto);Cotação;;Faturado;Headsets;;;VENDEDOR F
